SUBJID,PARTNER,CONTRAST,MAPPING,BIN,TargProp,CompProp
S05,diff,foil,Within,2,0.1666666667,0.8333333333
S05,same,foil,Within,2,0.75,0.25
S05,diff,test,Within,2,0.5,0.3333333333
S05,same,test,Within,2,0.3333333333,0.6666666667
S05,diff,foil,Within,3,0.1666666667,0.8333333333
S05,same,foil,Within,3,0.6666666667,0.3333333333
S05,diff,test,Within,3,0.1666666667,0.5
S05,same,test,Within,3,0.4285714286,0.5714285714
S05,diff,foil,Within,4,0.4,0.6
S05,same,foil,Within,4,0.5714285714,0.4285714286
S05,diff,test,Within,4,0.1111111111,0.6666666667
S05,same,test,Within,4,0.4285714286,0.5714285714
S05,diff,foil,Within,5,0.625,0.375
S05,same,foil,Within,5,0.5,0.5
S05,diff,test,Within,5,0.1428571429,0.7142857143
S05,same,test,Within,5,0.4285714286,0.4285714286
S05,diff,foil,Within,6,1,0
S05,same,foil,Within,6,0.625,0.375
S05,diff,test,Within,6,0.375,0.625
S05,same,test,Within,6,0.5,0.375
S05,diff,foil,Within,7,0.8571428571,0.1428571429
S05,same,foil,Within,7,0.8888888889,0.1111111111
S05,diff,test,Within,7,0.375,0.625
S05,same,test,Within,7,0.625,0.25
S05,diff,foil,Within,8,0.8571428571,0.1428571429
S05,same,foil,Within,8,1,0
S05,diff,test,Within,8,0.5,0.5
S05,same,test,Within,8,0.7142857143,0.2857142857
S05,diff,foil,Within,9,0.8571428571,0.1428571429
S05,same,foil,Within,9,1,0
S05,diff,test,Within,9,0.5,0.5
S05,same,test,Within,9,0.6666666667,0.3333333333
S05,diff,foil,Within,10,1,0
S05,same,foil,Within,10,1,0
S05,diff,test,Within,10,0.5714285714,0.4285714286
S05,same,test,Within,10,0.4285714286,0.5714285714
S05,diff,foil,Within,11,1,0
S05,same,foil,Within,11,1,0
S05,diff,test,Within,11,0.5714285714,0.4285714286
S05,same,test,Within,11,0.4,0.6
S05,diff,foil,Within,12,1,0
S05,same,foil,Within,12,1,0
S05,diff,test,Within,12,0.7142857143,0.2857142857
S05,same,test,Within,12,0.5,0.5
S05,diff,foil,Within,13,1,0
S05,same,foil,Within,13,1,0
S05,diff,test,Within,13,0.7142857143,0.2857142857
S05,same,test,Within,13,0.6666666667,0.3333333333
S05,diff,foil,Within,14,1,0
S05,same,foil,Within,14,1,0
S05,diff,test,Within,14,1,0
S05,same,test,Within,14,0.6,0.4
S05,diff,foil,Within,15,1,0
S05,same,foil,Within,15,1,0
S05,diff,test,Within,15,1,0
S05,same,test,Within,15,0.5,0.5
S05,diff,foil,Within,16,1,0
S05,same,foil,Within,16,1,0
S05,diff,test,Within,16,1,0
S05,same,test,Within,16,1,0
S05,diff,foil,Within,17,1,0
S05,same,foil,Within,17,1,0
S05,diff,test,Within,17,1,0
S05,same,test,Within,17,1,0
S05,diff,foil,Within,18,1,0
S05,same,foil,Within,18,1,0
S05,diff,test,Within,18,1,0
S05,same,test,Within,18,1,0
S06,diff,foil,Between,-6,0,0
S06,same,foil,Between,-6,0,0
S06,diff,test,Between,-6,0,0
S06,same,test,Between,-6,0,0
S06,diff,foil,Between,-5,0,0
S06,same,foil,Between,-5,0,0
S06,diff,test,Between,-5,0,0
S06,same,test,Between,-5,0,0
S06,diff,foil,Between,-4,0,0
S06,same,foil,Between,-4,0,0
S06,diff,test,Between,-4,0,0
S06,same,test,Between,-4,0,0
S06,diff,foil,Between,-3,0,0
S06,same,foil,Between,-3,0,0
S06,diff,test,Between,-3,0,0
S06,same,test,Between,-3,0,0.125
S06,diff,foil,Between,-2,0.125,0.125
S06,same,foil,Between,-2,0,0
S06,diff,test,Between,-2,0,0
S06,same,test,Between,-2,0.125,0.25
S06,diff,foil,Between,-1,0.125,0.125
S06,same,foil,Between,-1,0.125,0
S06,diff,test,Between,-1,0.125,0
S06,same,test,Between,-1,0.1428571429,0.2857142857
